timestamp,code,side,price,qty,reason,pnl,holding_days,holding_bars,return_pct
2024-06-30,BTCIRT,buy,5085345116.1361,0.019654,signal,0.0,0,0.0,0.0
2024-08-04,BTCIRT,sell,4518664617.8422,0.019654,signal,-11137538.5135,35,35.0,-11.14
2024-11-17,BTCIRT,buy,3940706087.4206,0.022267,signal,0.0,0,0.0,0.0
2024-12-21,BTCIRT,sell,3766933776.8651,0.022267,signal,-3869388.0391,34,34.0,-4.41
2025-01-03,BTCIRT,buy,3731681966.4738,0.02222,signal,0.0,0,0.0,0.0
2025-01-04,BTCIRT,sell,3713020547.4149,0.02222,signal,-414656.7315,1,1.0,-0.5
2025-02-14,BTCIRT,buy,3986594545.5607,0.020674,signal,0.0,0,0.0,0.0
2025-03-14,BTCIRT,sell,3489984105.6949,0.020674,signal,-10266924.2338,28,28.0,-12.46
2025-03-23,BTCIRT,buy,4528497848.9799,0.015776,signal,0.0,0,0.0,0.0
2025-06-17,BTCIRT,sell,5291971700.5861,0.015776,signal,12044563.4829,86,86.0,16.86
2025-08-13,BTCIRT,buy,5283852835.3545,0.0154,signal,0.0,0,0.0,0.0
2025-09-13,BTCIRT,sell,5629879011.5055,0.0154,end_of_backtest,5328803.1127,31,31.0,6.55
