code,reference,severity,detail
UNVERIFIED_EVIDENCE,OF:row:2:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:2:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:2:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:3:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:3:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:3:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:4:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:4:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:4:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:5:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:5:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:5:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:6:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
MISSING_DATE,OF:row:6:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:6:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:7:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:7:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:7:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:8:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:8:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:8:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:9:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:9:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:9:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:10:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:10:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:10:REGISTRATION,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:11:PAYMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
UNVERIFIED_EVIDENCE,OF:row:11:SHIPMENT,WARNING,رویداد قابل احتساب نیست؛ اصل داده حفظ شد
