event_id,source_event_id,case_id,order_id,bl_id,kind,date,recorded_at,amount,currency,from_account,to_account,document,source,status,group_id,reversal_of,due_date,rule_id,note,rate_regime,rate_side,rate_market,settlement_method
file,,DEMO-REG-1,999999999999999999,,FILE,2026-09-01,,,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-file,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
reg,,DEMO-REG-1,999999999999999999,,REGISTRATION,2026-09-01,,1200,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-reg,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
queue,,DEMO-REG-1,999999999999999999,,QUEUE,2026-09-01,,1200,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-queue,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
quota,,DEMO-REG-1,999999999999999999,,QUOTA,2026-09-01,,1200,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-quota,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
allocation,,DEMO-REG-1,999999999999999999,,ALLOCATION,2026-09-01,,1100,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-allocation,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
allocuse,,DEMO-REG-1,999999999999999999,,ALLOCATION_USE,2026-09-01,,1000,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-allocuse,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
quotause,,DEMO-REG-1,999999999999999999,,QUOTA_USE,2026-09-01,,1000,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-quotause,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
openingIRR,,DEMO-REG-1,999999999999999999,,OPENING,2026-09-01,,0,IRR,EXTERNAL:funding,OWN:IRR,DEMO-DOC-openingIRR,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
openingEUR,,DEMO-REG-1,999999999999999999,,OPENING,2026-09-01,,0,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-openingEUR,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
fund,,DEMO-REG-1,999999999999999999,,FUNDING,2026-09-01,,100000000,IRR,EXTERNAL:funding,OWN:IRR,DEMO-DOC-fund,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
sell,,DEMO-REG-1,999999999999999999,,FX_SELL,2026-09-01,,100000000,IRR,OWN:IRR,EXTERNAL:exchange,DEMO-DOC-sell,SYNTHETIC ONLY,POSTED,FX-1,,,,داده کاملاً مصنوعی,,,,
buy,,DEMO-REG-1,999999999999999999,,FX_BUY,2026-09-01,,1000,EUR,EXTERNAL:exchange,OWN:bank,DEMO-DOC-buy,SYNTHETIC ONLY,POSTED,FX-1,,,,داده کاملاً مصنوعی,,,,
payment,,DEMO-REG-1,999999999999999999,,PAYMENT,2026-09-01,,800,EUR,OWN:bank,EXTERNAL:supplier,DEMO-DOC-payment,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
commit,,DEMO-REG-1,999999999999999999,,COMMITMENT,2026-09-01,,1000,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-commit,SYNTHETIC ONLY,POSTED,,,2026-12-01,,داده کاملاً مصنوعی,,,,
BL1,,DEMO-REG-1,999999999999999999,DEMO-BL-1,SHIPMENT,2026-09-01,,400,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-BL1,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
BL2,,DEMO-REG-1,999999999999999999,DEMO-BL-2,SHIPMENT,2026-09-01,,300,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-BL2,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
customs,,DEMO-REG-1,999999999999999999,DEMO-BL-1,CUSTOMS,2026-09-01,,450,USD,EXTERNAL:funding,OWN:bank,DEMO-DOC-customs,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
clear,,DEMO-REG-1,999999999999999999,DEMO-BL-1,CLEARANCE,2026-09-01,,,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-clear,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
warehouse,,DEMO-REG-1,999999999999999999,DEMO-BL-1,WAREHOUSE,2026-09-01,,,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-warehouse,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
bankdoc,,DEMO-REG-1,999999999999999999,DEMO-BL-1,BANK_DOCS,2026-09-01,,,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-bankdoc,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
settle,,DEMO-REG-1,999999999999999999,DEMO-BL-1,SETTLEMENT,2026-09-01,,350,EUR,EXTERNAL:funding,OWN:bank,DEMO-DOC-settle,SYNTHETIC ONLY,POSTED,,,,,داده کاملاً مصنوعی,,,,
